observer_count = 12, target_count = 24, radius = 5, iteration = 14, score = 1.28333, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 14, score = 1.242, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.644, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 0.879999, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 0.755333, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.43467, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.11733, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.07467, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 0.968666, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.00267, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.20867, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.124, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.16867, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.402, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.28467, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.28267, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.086, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.55333, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 17, score = 1.26867, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
