observer_count = 14, target_count = 15, radius = 5, iteration = 8, score = 0.594
observer_count = 14, target_count = 21, radius = 5, iteration = 8, score = 0.467333
observer_count = 14, target_count = 27, radius = 5, iteration = 8, score = 1.39667
observer_count = 18, target_count = 3, radius = 5, iteration = 8, score = 0.0773333
observer_count = 18, target_count = 6, radius = 5, iteration = 8, score = 0.53
observer_count = 18, target_count = 9, radius = 5, iteration = 8, score = 0.773334
observer_count = 18, target_count = 15, radius = 5, iteration = 8, score = 0.880667
observer_count = 18, target_count = 21, radius = 5, iteration = 8, score = 0.603333
observer_count = 18, target_count = 27, radius = 5, iteration = 8, score = 2.56734
observer_count = 2, target_count = 3, radius = 5, iteration = 9, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 9, score = 0.0213333
observer_count = 2, target_count = 9, radius = 5, iteration = 9, score = 0.054
observer_count = 2, target_count = 15, radius = 5, iteration = 9, score = 0.0846667
observer_count = 2, target_count = 21, radius = 5, iteration = 9, score = 0.171333
observer_count = 2, target_count = 27, radius = 5, iteration = 9, score = 0.223333
observer_count = 6, target_count = 3, radius = 5, iteration = 9, score = 0.0786667
observer_count = 6, target_count = 6, radius = 5, iteration = 9, score = 0.0386666
observer_count = 6, target_count = 9, radius = 5, iteration = 9, score = 0.0766667
observer_count = 6, target_count = 15, radius = 5, iteration = 9, score = 0.495333
observer_count = 6, target_count = 21, radius = 5, iteration = 9, score = 0.240666
observer_count = 6, target_count = 27, radius = 5, iteration = 9, score = 0.391333
observer_count = 10, target_count = 3, radius = 5, iteration = 9, score = 0.122667
observer_count = 10, target_count = 6, radius = 5, iteration = 9, score = 0.288667
observer_count = 10, target_count = 9, radius = 5, iteration = 9, score = 0.0866666
observer_count = 10, target_count = 15, radius = 5, iteration = 9, score = 0.196667
observer_count = 10, target_count = 21, radius = 5, iteration = 9, score = 0.796667
observer_count = 10, target_count = 27, radius = 5, iteration = 9, score = 0.564667
observer_count = 14, target_count = 3, radius = 5, iteration = 9, score = 0.201333
observer_count = 14, target_count = 6, radius = 5, iteration = 9, score = 0.344
observer_count = 14, target_count = 9, radius = 5, iteration = 9, score = 0.382666
observer_count = 14, target_count = 15, radius = 5, iteration = 9, score = 0.802
observer_count = 14, target_count = 21, radius = 5, iteration = 9, score = 1.16533
observer_count = 14, target_count = 27, radius = 5, iteration = 9, score = 1.32
observer_count = 18, target_count = 3, radius = 5, iteration = 9, score = 0.0446667
observer_count = 18, target_count = 6, radius = 5, iteration = 9, score = 0.282667
observer_count = 18, target_count = 9, radius = 5, iteration = 9, score = 0.528666
observer_count = 18, target_count = 15, radius = 5, iteration = 9, score = 1.132
observer_count = 18, target_count = 21, radius = 5, iteration = 9, score = 1.868
observer_count = 18, target_count = 27, radius = 5, iteration = 9, score = 1.39933
observer_count = 2, target_count = 3, radius = 5, iteration = 10, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 10, score = 0.0746666
observer_count = 2, target_count = 9, radius = 5, iteration = 10, score = 0.00733334
observer_count = 2, target_count = 15, radius = 5, iteration = 10, score = 0.038
observer_count = 2, target_count = 21, radius = 5, iteration = 10, score = 0.0253333
observer_count = 2, target_count = 27, radius = 5, iteration = 10, score = 0.190667
observer_count = 6, target_count = 3, radius = 5, iteration = 10, score = 0
observer_count = 6, target_count = 6, radius = 5, iteration = 10, score = 0.12
